ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,span_years,touches,touch_count,reviewed,data_date,freshness,fetched_at,data_source
REG,32.666666666666664,77.3499984741211,0.523900265563759,0.6763897832744971,0.2991375872313107,0.594584786892006,0.8506069073020003,0.09373169470443135,0.4044818668665649,0.7295386285284341,0.750314502603651,0.015699999223556197,0.04599666035249229,0.24200050567318587,231.0,1.095371992210598,pre_breakout,coiling,A,A,86.4,-0.52,97.04,9.75,4,4,False,2026-05-01,seed,,seed_cache
SPG,32.5,204.91000366210938,0.5934444754006478,0.782929704632227,0.396720472084656,0.5656817132725095,0.870537855760064,0.10558708772131738,0.3877441508249382,0.5901278726827586,1.4168047481740014,0.037624921238855503,0.051019630324467435,0.5911814666264145,118.0,1.0,pre_breakout,coiling,A,A,74.6,-0.99,98.14,9.83,2,2,False,2026-05-01,seed,,seed_cache
UNP,41.416666666666664,262.6400146484375,0.6325413714177159,0.7458318993643038,0.45342634268906223,0.7020375669232901,0.9137251116291774,0.060993910668713534,0.3794882348794643,0.7815852610379472,1.345656443966723,0.007374301462598211,0.04194717545656915,0.12175396552009721,50.0,0.997282768207166,pre_breakout,coiling,A,A,66.8,0.07,93.9,4.17,2,2,False,2026-05-01,seed,,seed_cache
NSC,41.416666666666664,304.9599914550781,0.5274028547160355,0.6823203200101124,0.34857198228427594,0.5298981316499759,0.9149107905101278,0.06453990351203029,0.5029724463365253,0.8702679443717801,1.3255428493737802,-0.000570547930437515,-0.010748956439149443,0.10594233207097548,53.0,0.9177914484878259,pre_breakout,coiling,A,A,62.6,1.86,93.55,4.42,2,2,False,2026-05-01,seed,,seed_cache
LH,36.25,260.05999755859375,0.4468251952905,0.6083363495924969,0.18426037225221584,0.5559981006609028,0.8393396818405078,0.11459894975561105,0.48369917654688055,0.833225187736741,1.1580289202542164,0.013635557345303856,0.04275041099769597,0.20413285139257087,53.0,0.9276958241559119,pre_breakout,coiling,A,A,62.1,1.6,88.7,3.83,2,2,False,2026-05-01,seed,,seed_cache
CSX,41.416666666666664,45.2599983215332,0.5191841252208518,0.7014731133330834,0.4321745806406891,0.34933510665350925,0.9508154220740513,0.04069525161558654,0.5369311130368638,0.9803554698170569,2.21981158237638,0.026306747286828885,0.014206679644716462,0.20096996650664234,27.0,0.8503602940308478,pre_breakout,coiling,A,A,56.9,4.35,95.93,4.17,2,2,False,2026-05-01,seed,,seed_cache
MSCI,18.583333333333332,631.3800048828125,0.739933052764728,0.7596040957690999,0.6383866135525232,0.8506243988548196,0.9203242055124754,0.07129509810065159,0.274731255838853,0.5507844066264506,5.152286380426928,-0.007104486686657597,0.053073952520057775,0.09489460029613772,54.0,1.0,pre_breakout,coiling,B,B,62.0,-1.94,100.98,3.08,2,2,False,2026-05-01,seed,,seed_cache
NUE,41.416666666666664,250.0,0.5238290768279896,0.6691700816697363,0.4907845751420553,0.40668068028321414,0.9937907647739579,0.005529254914766804,0.6870365583080595,0.9396383355633122,2.5448599311234466,0.034787966367431644,0.036336136056642834,0.27690722436836523,25.0,0.8075102450092093,pre_breakout,coiling,B,B,47.3,6.34,101.56,4.08,3,3,False,2026-05-01,seed,,seed_cache
FCX,30.916666666666668,65.70999908447266,0.5137970474282363,0.7418653354043139,0.33957822683958566,0.40161249701324997,0.9204837180224555,0.07411585241309027,0.6547241222442642,0.9380550035201466,4.738588975584652,0.03757309783272624,0.03532249940264999,0.32014482376636133,216.0,0.8964350829590483,pre_breakout,coiling,C,C,50.0,6.63,95.33,4.92,4,4,False,2026-05-01,seed,,seed_cache
BG,24.833333333333332,123.30000305175781,0.5148065436884737,0.7332850765210096,0.30358516282132947,0.46095082437041834,0.8986944594872069,0.07936974692260752,0.634041702027661,1.0,1.3241379836509968,0.010780343981725426,0.015418512946184668,0.014459873198747752,220.0,1.0079893032385139,forming,basing,,A,62.2,4.06,87.95,9.0,3,3,False,2026-05-01,seed,,seed_cache
VTR,29.083333333333332,84.41999816894531,0.5342406909035909,0.7753182589332638,0.3341610622823,0.4286280621595466,0.9145541161903028,0.07291894978775772,0.5404709523997581,0.7536335798523733,1.9460674687055532,0.03419331484372629,0.03647353760332061,0.469242157550613,156.0,1.0547866953275864,post_breakout,broken_out,,A,84.9,-0.61,116.52,8.75,3,3,False,2026-05-01,seed,,seed_cache
