ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,current_price_position,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
REG,32.833333333333336,82.1500015258789,0.6784271096464844,0.7764824456002446,0.5726151285189552,0.6696753456990094,0.9407698403992545,0.037154221522314596,0.37780278143602397,0.6380562788780626,0.7701258574222075,0.016414287753142194,0.04599643398890219,0.30202458867149307,233.0,1.0957571284361003,pre_breakout,coiling,A,A,93.8,0.06,100.26,within_lid_band,18.67,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:50.686Z,yfinance
SPG,32.666666666666664,229.77999877929688,0.6319880388398162,0.792907620346244,0.5201298900926344,0.5311181166755864,0.9907544378101961,0.007558415795908011,0.5029057642397765,0.6541818503465263,1.4168047481740014,0.038690447098461485,0.051015595805567485,0.6419190094344822,120.0,0.9895046314145338,pre_breakout,coiling,A,A,77.8,-0.02,100.53,within_lid_band,9.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:53.797Z,yfinance
PETR4.SA,26.583333333333332,42.209999084472656,0.17824523334573733,0.5061669004225517,0.10338578191023698,0.29944767202727424,0.8327086255281896,0.16729137447181042,1.0,1.0,,0.04797220078515067,0.02834780929981694,0.35285533102260025,275.0,1.3316236304735998,pre_breakout,coiling,A,A,76.8,-0.35,99.72,within_lid_band,12.83,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:50.119Z,yfinance
ULVR.L,38.083333333333336,4575.5,0.14452675618597602,0.4155968989997206,0.0,0.1513089180136581,0.5379367201751386,0.19776100331926755,0.7775840705371287,0.9269652766782207,0.11697674249790406,0.031236674380461807,0.03526178360273162,0.3985803788165343,338.0,1.0370916226912872,pre_breakout,coiling,A,A,76.8,2.26,81.47,within_lid_band,27.5,5.0,5.0,True,,4.0,,,False,human,2026-07-01,fresh,2026-07-27T06:45:54.998Z,yfinance
BG,25.0,121.52999877929688,0.47048350331493594,0.7157488827307411,0.24014548605818653,0.400532120409097,0.8739964394715936,0.09891003796878324,0.6372909861441484,1.0,1.3241379836509968,0.009889224136620413,0.006789176415201378,0.012942684253514858,222.0,1.0009639273931874,pre_breakout,coiling,A,A,75.7,-0.01,90.11,within_lid_band,18.42,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:41.420Z,yfinance
0005.HK,26.583333333333332,162.3000030517578,0.44126022339267,0.7172960372960373,0.49794874924879806,0.493578780576454,0.998518541124132,0.0012307504507211538,0.750740729437934,0.8160225269850669,1.018181818181818,0.050443040284949905,0.0537157561152908,0.8041903882236114,225.0,0.9446153846153846,pre_breakout,coiling,A,A,71.9,-0.05,107.85,within_lid_band,19.58,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:33.083Z,yfinance
VTR,29.25,100.52999877929688,0.600621180278759,0.792625221971063,0.4948764119752143,0.4414573891960351,0.9964567656541193,0.0030741528148714183,0.5276031336852195,0.7046252465781854,1.9460674687055532,0.037386816259512,0.03812027310243699,0.56813595635212,158.0,0.9524878757386153,pre_breakout,coiling,A,A,70.9,-0.42,110.48,within_lid_band,13.0,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:55.973Z,yfinance
1299.HK,15.833333333333334,78.25,0.08743613316946883,0.22257261445179596,0.0,0.0,0.5341334982610361,0.28408053234046504,0.6534133841669634,0.8163074844863015,0.06096127505513646,-0.04169755248976075,-0.040074318626373666,0.07706872940523679,66.0,1.0,pre_breakout,coiling,A,A,70.0,0.59,84.79,within_lid_band,6.75,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:35.396Z,yfinance
UNP,41.583333333333336,307.32000732421875,0.6038973176678017,0.6986766155355014,0.46568261467009,0.6457510252762784,0.9621282348860466,0.027437523902974208,0.4863058145899436,0.8414965747879108,1.2895704964487298,0.00904385676008596,0.041102286411823494,0.18339172953222405,52.0,0.8827494891041069,pre_breakout,coiling,A,A,69.1,0.07,109.86,within_lid_band,4.17,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:55.392Z,yfinance
LH,36.416666666666664,296.7699890136719,0.6398563296593125,0.7273632201369549,0.5598114576973867,0.6119081256417805,0.99155668000287,0.006062019023353645,0.4161022127164286,0.7052287061298744,1.279668157459952,0.017019730326917497,0.04261228610534446,0.32321984096391176,55.0,0.912595722612394,pre_breakout,coiling,A,A,67.9,0.75,105.19,within_lid_band,4.5,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:46.944Z,yfinance
CNR.TO,29.75,182.91000366210938,0.5277383196616796,0.613576866618944,0.4789474013685054,0.45870393014050065,0.9777439951352995,0.01263155917889676,0.5624881085501611,1.0,0.5742104562417895,-0.006563180873847299,-0.0006113016214927767,0.0777219639605864,28.0,0.9788933675459683,pre_breakout,coiling,A,A,63.2,0.08,106.31,within_lid_band,4.25,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:42.579Z,yfinance
MSCI,18.75,550.7899780273438,0.5756289534271255,0.6666627095478934,0.37150449761099136,0.7157491817764846,0.7860872125321418,0.18983599645989796,0.26192968162094055,0.5207950300514296,4.749477672603842,-0.011413949721628796,0.053007408504371585,0.11884937938324558,56.0,1.0,pre_breakout,coiling,A,A,59.2,0.23,85.42,within_lid_band,1.5,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:47.679Z,yfinance
051910.KS,25.333333333333332,261000.0,0.39123604663879313,0.5234757858060406,0.42002743090488154,0.2335113989242175,0.09153713298791019,0.7514285714285714,0.2947610823258492,0.3514070006863418,0.0,-0.053914552551442944,-0.053414219338354246,0.7004465390672557,66.0,1.0,forming,basing,,A,67.2,-0.09,60.95,below_lid_band,13.75,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:34.917Z,yfinance
RELIANCE.NS,30.583333333333332,1280.5999755859375,0.39002427961318203,0.6533033966465057,0.13731798273529988,0.4403376906759889,0.7632962519568479,0.20548459064943556,0.355162798652912,0.7419273327591968,4.222211607016669,0.0526183410021882,0.05291991621903619,0.4762377600396954,24.0,0.9981387269455779,forming,basing,,A,52.6,0.12,79.4,below_lid_band,1.5,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:51.283Z,yfinance
7203.T,27.25,2965.5,0.22203688954097037,0.4559081635686583,0.0,0.2448523986533623,0.6434725638598418,0.258625,0.62620623631384,0.8126118067978533,0.9874362267649378,0.049231203807071515,0.05397047973067246,0.5421219009134132,28.0,0.97275,forming,basing,,A,47.5,1.41,73.7,below_lid_band,1.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:37.069Z,yfinance
